# m4 [GeV]	90%CL CNH/Lambda^2 [GeV^-2] from pi0 invisible decay (NA62) (https://arxiv.org/pdf/2010.07644.pdf)
0.001	0.00047176756824815393
0.0010023052380778994	0.000470682644199966
0.0010046157902783945	0.00046960021566443475
0.0010069316688518044	0.0004685202769026321
0.0010092528860766844	0.00046744282218883225
0.0010115794542598982	0.0004663678458104779
0.0010139113857366789	0.00046529534206815235
0.001016248692870696	0.0004642253052755479
0.001018591388054117	0.00046315772975943784
0.0010209394837076798	0.0004620926098596437
0.0010232929922807535	0.0004610299399290068
0.0010256519262514079	0.00045996971433335724
0.0010280162981264735	0.00045891192745148643
0.001030386120441616	0.0004578565736751141
0.001032761405761397	0.0004568036474088608
0.0010351421666793441	0.0004557531430702165
0.0010375284158180126	0.000454705055089514
0.001039920165829059	0.0004536593779098955
0.0010423174293933035	0.0004526161059872858
0.0010447202192208004	0.0004515752337903615
0.0010471285480508996	0.00045053675580052386
0.001049542428652322	0.0004495006665118665
0.0010519618738232225	0.00044846696043114814
0.0010543868963912592	0.00044743563207776273
0.0010568175092136585	0.000446406675983712
0.0010592537251772887	0.00044538008669357365
0.001061695557198724	0.0004443558587644745
0.0010641430182243164	0.0004433339867660608
0.001066596121230258	0.000442314465280471
0.0010690548792226576	0.0004412972889023042
0.001071519305237606	0.0004402824522385936
0.0010739894123412452	0.00043926994990877685
0.001076465213629835	0.00043825977654466937
0.0010789467222298286	0.00043725192679043345
0.0010814339512979375	0.00043624639530255105
0.0010839269140212038	0.0004352431767497949
0.0010864256236170656	0.00043424226581320217
0.0010889300933334333	0.0004332436571860436
0.001091440336448756	0.0004322473455737967
0.0010939563662720941	0.00043125332569411717
0.0010964781961431851	0.0004302615922768126
0.0010990058394325208	0.0004292721400638121
0.0011015393095414145	0.0004282849638091395
0.0011040786199020736	0.00042730005827888533
0.0011066237839776664	0.000426317418251181
0.0011091748152624009	0.00042533703851616717
0.0011117317272815908	0.00042435891387596964
0.0011142945335917303	0.00042338303914466954
0.001116863247780561	0.00042240940914827846
0.0011194378834671515	0.00042143801872470787
0.001122018454301963	0.00042046886272374364
0.0011246049739669268	0.0004195019360070181
0.0011271974561755105	0.00041853723344798406
0.0011297959146727976	0.00041757474993188556
0.0011324003632355566	0.000416614480355732
0.0011350108156723154	0.00041565641962827075
0.0011376272858234309	0.00041470056266996124
0.0011402497875611685	0.00041374690441294584
0.0011428783347897712	0.000412795439801025
0.0011455129414455361	0.0004118461637896287
0.0011481536214968829	0.00041089907134579255
0.0011508003889444357	0.0004099541574481273
0.0011534532578210918	0.0004090114170867951
0.0011561122421920992	0.00040807084526348146
0.0011587773561551262	0.00040713243699137027
0.0011614486138403425	0.00040619618729511523
0.0011641260294104909	0.00040526209121081514
0.001166809617060963	0.0004043301437859867
0.001169499391019871	0.0004034003400795395
0.0011721953655481304	0.000402472675161748
0.001174897554939529	0.00040154714411422656
0.0011776059735208078	0.0004006237420299028
0.0011803206356517297	0.0003997024640129929
0.0011830415557251646	0.0003987833051789739
0.0011857687481671595	0.0003978662606545584
0.001188502227437019	0.00039695132557766876
0.0011912420080273751	0.00039603849509741275
0.0011939881044642732	0.00039512776437405515
0.0011967405313072432	0.00039421912857899377
0.0011994993031493794	0.0003933125828947332
0.001202264434617413	0.0003924081225148609
0.0012050359403717973	0.00039150574264401914
0.0012078138351067798	0.0003906054384978811
0.001210598133550483	0.00038970720530312524
0.0012133888504649774	0.0003888110382974109
0.001216186000646368	0.0003879169327293509
0.001218989598924866	0.0003870248838584884
0.0012217996601648724	0.00038613488695527013
0.001224616199265049	0.0003852469373010237
0.0012274392311584072	0.0003843610301879295
0.0012302687708123812	0.00038347716091899803
0.0012331048332289095	0.0003825953248080437
0.0012359474334445108	0.00038171551717966165
0.001238796586530369	0.0003808377333692008
0.0012416523075924107	0.00037996196872274043
0.0012445146117713857	0.00037908821859706485
0.0012473835142429433	0.00037821647835964054
0.0012502590302177201	0.0003773467433885888
0.0012531411749414157	0.00037647900907266323
0.0012560299636948755	0.00037561327081122404
0.0012589254117941675	0.00037474952401421604
0.0012618275345906706	0.00037388776410214104
0.0012647363474711508	0.00037302798650603545
0.0012676518658578462	0.00037217018666744545
0.001270574105208542	0.00037131436003840445
0.0012735030810166615	0.00037046050208140626
0.0012764388088113434	0.0003696086082693828
0.0012793813041575253	0.0003687586740856795
0.0012823305826560219	0.0003679106950240325
0.0012852866599436154	0.0003670646665885428
0.0012882495516931337	0.0003662205842936537
0.0012912192736135347	0.00036537844366412673
0.0012941958414499862	0.0003645382402350184
0.0012971792709839558	0.00036369996955165553
0.00130016957803329	0.0003628636271696123
0.0013031667784523	0.0003620292086546865
0.0013061708881318419	0.0003611967095828768
0.001309181922999407	0.00036036612554035766
0.0013121998990192028	0.0003595374521234571
0.001315224832192239	0.00035871068493863303
0.0013182567385564075	0.0003578858196024507
0.001321295634186575	0.00035706285174155815
0.0013243415351946643	0.00035624177699266366
0.0013273944577297401	0.00035542259100251243
0.0013304544179780914	0.0003546052894278646
0.001333521432163324	0.0003537898679354704
0.0013365955165464418	0.0003529763222020487
0.0013396766874259345	0.0003521646479142626
0.0013427649611378642	0.00035135484076869816
0.0013458603540559483	0.00035054689647184107
0.0013489628825916532	0.0003497408107400531
0.0013520725631942778	0.00034893657929954973
0.0013551894123510365	0.000348134197886379
0.001358313446587154	0.0003473336622463963
0.0013614446824659497	0.00034653496813524364
0.001364583136588924	0.0003457381113183266
0.0013677288255958494	0.00034494308757079177
0.0013708817661648536	0.00034414989267750524
0.0013740419750125148	0.0003433585224330287
0.0013772094688939472	0.0003425689726415978
0.0013803842646028853	0.0003417812391171012
0.001383566378971781	0.00034099531768305637
0.0013867558288718882	0.0003402112041725884
0.0013899526312133527	0.00033942889442840777
0.0013931568029453036	0.0003386483843027884
0.0013963683610559376	0.0003378696696575464
0.0013995873225726178	0.0003370927463640162
0.0014028137045619575	0.00033631761030303054
0.0014060475241299143	0.00033554425736489715
0.0014092887984218747	0.000334772683449379
0.001412537544622754	0.00033400288446567016
0.001415793779957081	0.0003332348563323757
0.0014190575216890926	0.00033246859497748903
0.0014223287871228199	0.000331704096338372
0.001425607593602188	0.0003309413563617312
0.0014288939585111022	0.000330180371003598
0.001432187899273544	0.0003294211362293057
0.001435489433353656	0.00032866364801347077
0.0014387985782558451	0.0003279079023399683
0.0014421153515248681	0.0003271538952019126
0.001445439770745928	0.0003264016226016355
0.0014487718535447617	0.0003256510805506657
0.001452111617587742	0.00032490226506970643
0.0014554590805819655	0.0003241551721886154
0.001458814260275349	0.0003234097979463829
0.0014621771744567182	0.0003226661383911124
0.0014655478409559112	0.0003219241895799975
