#: table_doi: 10.17182/hepdata.91136.v1/t1
#: name: Table 1
#: description: Displaced HNL event selection efficiency as a function of mean proper decay length for HNL mass 5, 7.5, 10 and 12.5 GeV.
#: data_file: HEPdata_eff_HNLdisplaced_mu_5GeV.yaml
#: keyword SQRT(S): 13000
#: keyword reactions: P P --> W X
#: keyword observables: EFF
#: LUMINOSITY [fb$^{-1}$],36.1
#: HNL mass [GeV],5
ctau [mm],efficiency [dimensionless],stat +,stat -
0.1235,2.8343e-11,4.22513e-12,-4.22513e-12
0.181,1.15412e-08,1.72046e-09,-1.72046e-09
0.2655,5.8338e-07,8.69647e-08,-8.69647e-08
0.39,7.76593e-06,1.15703e-06,-1.15703e-06
0.5725,4.02652e-05,5.93295e-06,-5.93295e-06
0.8405,0.000117431,1.60033e-05,-1.60033e-05
1.235,0.000267318,2.89045e-05,-2.89045e-05
1.81,0.000560923,4.56344e-05,-4.56344e-05
2.655,0.00104341,7.18044e-05,-7.18044e-05
3.9,0.00169286,0.000103884,-0.000103884
5.725,0.00240518,0.00013206,-0.00013206
8.405,0.00304904,0.00015301,-0.00015301
12.35,0.00349214,0.000166981,-0.000166981
18.1,0.00364058,0.000174338,-0.000174338
26.55,0.00347924,0.000173943,-0.000173943
39,0.0030717,0.000163691,-0.000163691
57.25,0.00253764,0.000144184,-0.000144184
84.05,0.00198862,0.000119327,-0.000119327
123.5,0.00149621,9.3693e-05,-9.3693e-05
181,0.00109178,7.05732e-05,-7.05732e-05
265.5,0.00078333,5.17919e-05,-5.17919e-05
390,0.00055127,3.70439e-05,-3.70439e-05
572.5,0.000384231,2.6112e-05,-2.6112e-05
840.5,0.000265982,1.82174e-05,-1.82174e-05
1050,0.000183113,1.26093e-05,-1.26093e-05

#: LUMINOSITY [fb$^{-1}$],36.1
#: HNL mass [GeV],7.5
ctau [mm],efficiency [dimensionless],stat +,stat -
0.1235,1.03326e-10,1.17751e-11,-1.17751e-11
0.181,4.2074e-08,4.79478e-09,-4.79478e-09
0.2655,2.12674e-06,2.42363e-07,-2.42363e-07
0.39,2.83085e-05,3.22454e-06,-3.22454e-06
0.5725,0.000146519,1.65345e-05,-1.65345e-05
0.8405,0.000422572,4.45754e-05,-4.45754e-05
1.235,0.000937578,7.98682e-05,-7.98682e-05
1.81,0.00192906,0.000122184,-0.000122184
2.655,0.00359506,0.000186861,-0.000186861
3.9,0.00596206,0.000269115,-0.000269115
5.725,0.00877238,0.000344862,-0.000344862
8.405,0.0115423,0.000405366,-0.000405366
12.35,0.0136864,0.000447625,-0.000447625
