{\rtf1\ansi\ansicpg1252\cocoartf2513
\cocoatextscaling0\cocoaplatform0{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0 1.99824561e-1 2.74804848e-8\
2.00643275e-1 4.68523854e-8\
2.01871345e-1 3.60504400e-8\
2.02690058e-1 3.53818460e-8\
2.03918129e-1 2.38807950e-8\
2.04736842e-1 3.31379168e-8\
2.05555556e-1 3.22203372e-8\
2.08011696e-1 4.68523854e-8\
2.08830409e-1 3.99600494e-8\
2.09675439e-1 3.04687170e-8\
2.10877193e-1 2.72244647e-8\
2.12105263e-1 2.90679654e-8\
2.12514620e-1 2.27889113e-8\
2.14970760e-1 1.75348655e-8\
2.16608187e-1 2.82630816e-8\
2.17836257e-1 3.34495473e-8\
2.18654971e-1 2.62240151e-8\
2.19883041e-1 2.82630816e-8\
2.20701754e-1 2.74804848e-8\
2.21929825e-1 3.44021326e-8\
2.22748538e-1 2.79997705e-8\
2.24795322e-1 2.45608788e-8\
2.26023392e-1 2.85288689e-8\
2.27251462e-1 2.32195425e-8\
2.27846857e-1 1.94659151e-8\
2.28284722e-1 1.68355292e-8\
2.28888889e-1 1.44057736e-8\
2.31754386e-1 1.27553111e-8\
2.32225512e-1 1.04638147e-8\
2.32982456e-1 8.21550277e-9\
2.33801170e-1 6.87698970e-9\
2.34619883e-1 5.86533312e-9\
2.35847953e-1 6.14635848e-9\
2.36666667e-1 7.34266405e-9\
2.37894737e-1 7.55177045e-9\
2.38355629e-1 9.75557897e-9\
2.38793494e-1 1.14504701e-8\
2.39231360e-1 1.41061858e-8\
2.39669225e-1 1.70902724e-8\
2.40760234e-1 2.79997705e-8\
2.41988304e-1 3.22203372e-8\
2.42807018e-1 2.64706270e-8\
2.45672515e-1 2.09477900e-8\
2.46237208e-1 1.71760405e-8\
2.46675073e-1 1.40591874e-8\
2.47112939e-1 1.13932924e-8\
2.47719298e-1 8.37074723e-9\
2.48947368e-1 9.19209775e-9\
2.49766082e-1 7.69447268e-9\
2.50584795e-1 8.29276172e-9\
2.51491594e-1 5.97302188e-9\
2.51812865e-1 5.09702863e-9\
2.53040936e-1 5.64979279e-9\
2.53450292e-1 7.91359798e-9\
2.54678363e-1 8.21550277e-9\
2.54994518e-1 9.65839376e-9\
2.55432383e-1 1.18291837e-8\
2.55870249e-1 1.49296309e-8\
2.56725146e-1 2.30032192e-8\
2.57543860e-1 2.79997705e-8\
2.59590643e-1 2.15443469e-8\
2.60818713e-1 2.07526313e-8\
2.61124635e-1 1.51555354e-8\
2.61637427e-1 1.00000000e-8\
2.62865497e-1 1.04791294e-8\
2.63684211e-1 8.13896359e-9\
2.64912281e-1 8.52892527e-9\
2.67692617e-1 5.62477631e-9\
2.69005848e-1 8.06313748e-9\
2.70643275e-1 1.12939414e-8\
2.71871345e-1 1.16155733e-8\
2.72690058e-1 1.46779927e-8\
2.73918129e-1 1.29963422e-8\
2.75355263e-1 7.90573173e-9\
2.77575867e-1 7.03586148e-9\
2.80390716e-1 8.40921805e-9\
2.81695906e-1 1.01889653e-8\
2.82923977e-1 1.09812153e-8\
2.83831088e-1 1.06145521e-8\
2.84769371e-1 1.27622775e-8\
2.87922003e-1 8.82615666e-9\
2.90169712e-1 9.85374208e-9\
2.90571089e-1 7.53856008e-9\
2.93636148e-1 1.20986829e-8\
2.93745614e-1 1.60335459e-8\
2.94402412e-1 1.39889832e-8\
2.96701206e-1 6.83744772e-9\
2.96737695e-1 8.97467095e-9\
2.97686404e-1 4.34650924e-9\
2.97905336e-1 5.03820340e-9\
3.00240619e-1 1.00866477e-8\
3.01517727e-1 8.94850174e-9\
3.04911184e-1 8.47967222e-9\
3.05495005e-1 6.42806823e-9\
3.05713938e-1 7.54485235e-9\
3.06808601e-1 9.43537669e-9\
3.09289839e-1 5.62477631e-9\
3.10019615e-1 8.73823037e-9\
3.11807566e-1 7.11682989e-9\
3.12245431e-1 9.90319342e-9\
3.13230629e-1 6.34282831e-9\
3.13668494e-1 8.50092335e-9\
3.14982091e-1 1.65017684e-8\
3.15128046e-1 1.31733824e-8\
3.15332383e-1 1.52927156e-8\
3.17959576e-1 1.13705014e-8\
3.18156615e-1 9.95289293e-9\
3.18922880e-1 8.65118000e-9\
3.19360746e-1 6.70189679e-9\
3.21440607e-1 3.99691507e-9\
3.21495340e-1 4.55535808e-9\
3.22163085e-1 5.55204109e-9\
3.24678363e-1 8.37074723e-9\
3.25497076e-1 1.07775569e-8\
3.27134503e-1 8.44946611e-9\
3.28264011e-1 5.68137423e-9\
3.29181287e-1 1.16155733e-8\
3.30000000e-1 8.93757115e-9\
3.30818713e-1 1.22865766e-8\
3.31228070e-1 1.06771485e-8\
3.32496711e-1 1.03595740e-8\
3.32865497e-1 5.81068914e-9\
3.34093567e-1 6.87698970e-9\
3.34686038e-1 5.96804048e-9\
3.35123904e-1 4.46784396e-9\
3.36072612e-1 5.12297928e-9\
3.36140351e-1 8.85430487e-9\
3.37368421e-1 5.29148094e-9\
3.38187135e-1 7.34266405e-9\
3.39415205e-1 1.07775569e-8\
3.40233918e-1 1.15073576e-8\
3.41461988e-1 1.00940404e-8\
3.42786550e-1 4.49026598e-9\
3.43099415e-1 4.68523854e-9\
3.43918129e-1 7.41171480e-9\
3.43918129e-1 4.77377327e-9\
3.44736842e-1 7.76683184e-9\
3.45964912e-1 4.59834578e-9\
3.46783626e-1 1.62697962e-8\
3.47192982e-1 1.34921543e-8\
3.47602339e-1 1.31185604e-8\
3.48830409e-1 4.14845305e-9\
3.49649123e-1 3.37641083e-9\
3.49649123e-1 4.22684439e-9\
3.50467836e-1 3.50522134e-9\
3.50467836e-1 9.45387283e-9\
3.51695906e-1 8.29276172e-9\
3.52105263e-1 1.56719108e-8\
3.52514620e-1 1.14001501e-8\
3.53742690e-1 1.24021202e-8\
3.54152047e-1 7.07283450e-9\
3.54827851e-1 4.78022075e-9\
3.55380117e-1 3.25233387e-9\
3.56608187e-1 8.29276172e-9\
3.57426901e-1 1.28752627e-8\
3.58330775e-1 8.65118000e-9\
3.58622685e-1 6.56903312e-9\
3.59883041e-1 5.86533312e-9\
3.60292398e-1 7.48141489e-9\
3.61220687e-1 6.06340138e-9\
3.61614766e-1 5.35013261e-9\
3.63366228e-1 1.40944215e-8\
3.63585161e-1 9.99033118e-9\
3.64836205e-1 7.05938164e-9\
3.66358309e-1 5.12297928e-9\
3.67088085e-1 4.86471275e-9\
3.67660819e-1 1.02847827e-8\
3.68255726e-1 6.92933473e-9\
3.68888889e-1 1.28752627e-8\
3.68888889e-1 7.20648650e-9\
3.69707602e-1 7.00694091e-9\
3.70526316e-1 8.06313748e-9\
3.71345029e-1 1.32419279e-8\
3.72573099e-1 8.77181434e-9\
3.72573099e-1 6.50141861e-9\
3.73801170e-1 9.10646019e-9\
3.74619883e-1 1.00000000e-8\
3.75991350e-1 4.94656937e-9\
3.76596021e-1 9.23158246e-9\
3.76666667e-1 1.20587089e-8\
3.77076023e-1 1.62697962e-8\
3.77596857e-1 1.13742968e-8\
3.78304094e-1 6.56255824e-9\
3.79122807e-1 1.80342282e-8\
3.79941520e-1 1.22865766e-8\
3.80760234e-1 1.82038229e-8\
3.82397661e-1 9.45387283e-9\
}
